N,mergeRandom,mergeReverse,mergeAlmost,merge5Random,merge5Reverse,merge5Almost,merge30Random,merge30Reverse,merge30Almost,merge50Random,merge50Reverse,merge50Almost
8600,23445,22896,23039,14350,13924,13914,8877,8528,8394,7160,7026,6666
8700,23912,23413,23517,14597,14041,14127,8980,8634,8568,7216,7068,6645
8800,24243,23669,23861,14803,14169,14305,9016,8683,8498,7247,7134,6669
8900,24721,24020,24165,14853,14300,14445,9095,8699,8546,7306,7150,6709
9000,25050,24471,24640,14996,14467,14541,9080,8750,8579,7369,7246,6781
9100,25349,24761,24943,15147,14640,14694,9149,8787,8605,7374,7276,6779
9200,25762,25168,25287,15280,14735,14830,9204,8862,8653,7413,7303,6807
9300,26079,25388,25680,15417,14836,14942,9209,8858,8709,7463,7368,6857
9400,26273,25659,25818,15500,14967,15008,9261,8905,8725,7524,7388,6894
9500,26584,25970,26116,15534,14975,15076,9360,8981,8761,7593,7434,6925
9600,26906,26254,26456,15634,15052,15153,9334,8999,8817,7633,7515,6934
9700,27194,26539,26713,15846,15120,15200,9387,9035,8827,7619,7527,6951
9800,27613,26843,27010,15783,15208,15325,9481,9086,8889,7684,7561,6999
9900,27753,27226,27329,15879,15254,15332,9498,9189,8898,7720,7599,7025
10000,27992,27383,27524,15882,15279,15374,9512,9228,8977,7760,7639,7052
